column,inferred_dtype
904-0.0,Int64
904-1.0,Int64
904-2.0,Int64
914-0.0,Int64
914-1.0,Int64
914-2.0,Int64
924-0.0,Int64
924-1.0,Int64
924-2.0,Int64
943-0.0,Int64
943-1.0,Int64
943-2.0,Int64
971-0.0,Int64
971-1.0,Int64
971-2.0,Int64
981-0.0,Int64
981-1.0,Int64
981-2.0,Int64
991-0.0,Int64
991-1.0,Int64
991-2.0,Int64
1001-0.0,Int64
1001-1.0,Int64
1001-2.0,Int64
1011-0.0,Int64
1011-1.0,Int64
1011-2.0,Int64
1021-0.0,Int64
1021-1.0,Int64
1021-2.0,Int64
1031-0.0,Int64
1031-1.0,Int64
1031-2.0,Int64
1050-0.0,Int64
1050-1.0,Int64
1050-2.0,Int64
1060-0.0,Int64
1060-1.0,Int64
1060-2.0,Int64
1070-0.0,Int64
1070-1.0,Int64
1070-2.0,Int64
1080-0.0,Int64
1080-1.0,Int64
1080-2.0,Int64
1090-0.0,Int64
1090-1.0,Int64
1090-2.0,Int64
1100-0.0,Int64
1100-1.0,Int64
1100-2.0,Int64
1110-0.0,Int64
1110-1.0,Int64
1110-2.0,Int64
1120-0.0,Int64
1120-1.0,Int64
1120-2.0,Int64
1130-0.0,Int64
1130-1.0,Int64
1130-2.0,Int64
1140-0.0,Int64
1140-1.0,Int64
1140-2.0,Int64
1150-0.0,Int64
1150-1.0,Int64
1150-2.0,Int64
1160-0.0,Int64
1160-1.0,Int64
1160-2.0,Int64
1170-0.0,Int64
1170-1.0,Int64
1170-2.0,Int64
1180-0.0,Int64
1180-1.0,Int64
1180-2.0,Int64
1190-0.0,Int64
1190-1.0,Int64
1190-2.0,Int64
1200-0.0,Int64
1200-1.0,Int64
1200-2.0,Int64
1210-0.0,Int64
1210-1.0,Int64
1210-2.0,Int64
1220-0.0,Int64
1220-1.0,Int64
1220-2.0,Int64
1239-0.0,Int64
1239-1.0,Int64
1239-2.0,Int64
1249-0.0,Int64
1249-1.0,Int64
1249-2.0,Int64
1259-0.0,Int64
1259-1.0,Int64
1259-2.0,Int64
1269-0.0,Int64
1269-1.0,Int64
1269-2.0,Int64
1279-0.0,Int64
1279-1.0,Int64
1279-2.0,Int64
1289-0.0,Int64
1289-1.0,Int64
1289-2.0,Int64
1299-0.0,Int64
1299-1.0,Int64
1299-2.0,Int64
1309-0.0,Int64
1309-1.0,Int64
1309-2.0,Int64
1319-0.0,Int64
1319-1.0,Int64
1319-2.0,Int64
1329-0.0,Int64
1329-1.0,Int64
1329-2.0,Int64
1339-0.0,Int64
1339-1.0,Int64
1339-2.0,Int64
1349-0.0,Int64
1349-1.0,Int64
1349-2.0,Int64
1359-0.0,Int64
1359-1.0,Int64
1359-2.0,Int64
1369-0.0,Int64
1369-1.0,Int64
1369-2.0,Int64
1379-0.0,Int64
1379-1.0,Int64
1379-2.0,Int64
1389-0.0,Int64
1389-1.0,Int64
1389-2.0,Int64
1408-0.0,Int64
1408-1.0,Int64
1408-2.0,Int64
1418-0.0,Int64
1418-1.0,Int64
1418-2.0,Int64
1428-0.0,Int64
1428-1.0,Int64
1428-2.0,Int64
1438-0.0,Int64
1438-1.0,Int64
1438-2.0,Int64
1448-0.0,Int64
1448-1.0,Int64
1448-2.0,Int64
1458-0.0,Int64
1458-1.0,Int64
1458-2.0,Int64
1468-0.0,Int64
1468-1.0,Int64
1468-2.0,Int64
1478-0.0,Int64
1478-1.0,Int64
1478-2.0,Int64
1488-0.0,Int64
1488-1.0,Int64
1488-2.0,Int64
1498-0.0,Int64
1498-1.0,Int64
1498-2.0,Int64
1508-0.0,Int64
1508-1.0,Int64
1508-2.0,Int64
1518-0.0,Int64
1518-1.0,Int64
1518-2.0,Int64
1528-0.0,Int64
1528-1.0,Int64
1528-2.0,Int64
1538-0.0,Int64
1538-1.0,Int64
1538-2.0,Int64
1548-0.0,Int64
1548-1.0,Int64
1548-2.0,Int64
1558-0.0,Int64
1558-1.0,Int64
1558-2.0,Int64
1568-0.0,Int64
1568-1.0,Int64
1568-2.0,Int64
1578-0.0,Int64
1578-1.0,Int64
1578-2.0,Int64
1588-0.0,Int64
1588-1.0,Int64
1588-2.0,Int64
1598-0.0,Int64
1598-1.0,Int64
1598-2.0,Int64
1608-0.0,Int64
1608-1.0,Int64
1608-2.0,Int64
1618-0.0,Int64
1618-1.0,Int64
1618-2.0,Int64
1628-0.0,Int64
1628-1.0,Int64
1628-2.0,Int64
1647-0.0,Int64
1647-1.0,Int64
1647-2.0,Int64
1677-0.0,Int64
1677-1.0,Int64
1677-2.0,Int64
1687-0.0,Int64
1687-1.0,Int64
1687-2.0,Int64
1697-0.0,Int64
1697-1.0,Int64
1697-2.0,Int64
1707-0.0,Int64
1707-1.0,Int64
1707-2.0,Int64
1717-0.0,Int64
1717-1.0,Int64
1717-2.0,Int64
1727-0.0,Int64
1727-1.0,Int64
1727-2.0,Int64
1737-0.0,Int64
1737-1.0,Int64
1737-2.0,Int64
1747-0.0,Int64
1747-1.0,Int64
1747-2.0,Int64
1757-0.0,Int64
1757-1.0,Int64
1757-2.0,Int64
1767-0.0,Int64
1767-1.0,Int64
1767-2.0,Int64
1777-0.0,Int64
1777-1.0,Int64
1777-2.0,Int64
1787-0.0,Int64
1787-1.0,Int64
1787-2.0,Int64
1797-0.0,Int64
1797-1.0,Int64
1797-2.0,Int64
1807-0.0,Int64
1807-1.0,Int64
1807-2.0,Int64
1835-0.0,Int64
1835-1.0,Int64
1835-2.0,Int64
1845-0.0,Int64
1845-1.0,Int64
1845-2.0,Int64
1873-0.0,Int64
1873-1.0,Int64
1873-2.0,Int64
1883-0.0,Int64
1883-1.0,Int64
1883-2.0,Int64
1920-0.0,Int64
1920-1.0,Int64
1920-2.0,Int64
1930-0.0,Int64
1930-1.0,Int64
1930-2.0,Int64
1940-0.0,Int64
1940-1.0,Int64
1940-2.0,Int64
1950-0.0,Int64
1950-1.0,Int64
1950-2.0,Int64
1960-0.0,Int64
1960-1.0,Int64
1960-2.0,Int64
1970-0.0,Int64
1970-1.0,Int64
1970-2.0,Int64
1980-0.0,Int64
1980-1.0,Int64
1980-2.0,Int64
1990-0.0,Int64
1990-1.0,Int64
1990-2.0,Int64
2000-0.0,Int64
2000-1.0,Int64
2000-2.0,Int64
2010-0.0,Int64
2010-1.0,Int64
2010-2.0,Int64
2020-0.0,Int64
2020-1.0,Int64
2020-2.0,Int64
2030-0.0,Int64
2030-1.0,Int64
2030-2.0,Int64
2040-0.0,Int64
2040-1.0,Int64
2040-2.0,Int64
2050-0.0,Int64
2050-1.0,Int64
2050-2.0,Int64
2060-0.0,Int64
2060-1.0,Int64
2060-2.0,Int64
2070-0.0,Int64
2070-1.0,Int64
2070-2.0,Int64
2080-0.0,Int64
2080-1.0,Int64
2080-2.0,Int64
2090-0.0,Int64
2090-1.0,Int64
2090-2.0,Int64
2100-0.0,Int64
2100-1.0,Int64
2100-2.0,Int64
2110-0.0,Int64
2110-1.0,Int64
2110-2.0,Int64
2129-0.0,Int64
2129-1.0,Int64
2129-2.0,Int64
2139-0.0,Int64
2139-1.0,Int64
2139-2.0,Int64
2149-0.0,Int64
2149-1.0,Int64
2149-2.0,Int64
2159-0.0,Int64
2159-1.0,Int64
2159-2.0,Int64
2178-0.0,Int64
2178-1.0,Int64
2178-2.0,Int64
2188-0.0,Int64
2188-1.0,Int64
2188-2.0,Int64
2207-0.0,Int64
2207-1.0,Int64
2207-2.0,Int64
2217-0.0,Int64
2217-1.0,Int64
2217-2.0,Int64
2227-0.0,Int64
2227-1.0,Int64
2227-2.0,Int64
2237-0.0,Int64
2237-1.0,Int64
2237-2.0,Int64
2247-0.0,Int64
2247-1.0,Int64
2247-2.0,Int64
2257-0.0,Int64
2257-1.0,Int64
2257-2.0,Int64
2267-0.0,Int64
2267-1.0,Int64
2267-2.0,Int64
2277-0.0,Int64
2277-1.0,Int64
2277-2.0,Int64
2296-0.0,Int64
2296-1.0,Int64
2296-2.0,Int64
2306-0.0,Int64
2306-1.0,Int64
2306-2.0,Int64
2316-0.0,Int64
2316-1.0,Int64
2316-2.0,Int64
2335-0.0,Int64
2335-1.0,Int64
2335-2.0,Int64
2345-0.0,Int64
2345-1.0,Int64
2345-2.0,Int64
2355-0.0,Int64
2355-1.0,Int64
2355-2.0,Int64
2365-0.0,Int64
2365-1.0,Int64
2365-2.0,Int64
2375-0.0,Int64
2375-1.0,Int64
2375-2.0,Int64
2385-0.0,Int64
2385-1.0,Int64
2385-2.0,Int64
2395-0.0,Int64
2395-1.0,Int64
2395-2.0,Int64
2405-0.0,Int64
2405-1.0,Int64
2405-2.0,Int64
2415-0.0,Int64
2415-1.0,Int64
2415-2.0,Int64
2443-0.0,Int64
2443-1.0,Int64
2443-2.0,Int64
2453-0.0,Int64
2453-1.0,Int64
2453-2.0,Int64
2463-0.0,Int64
2463-1.0,Int64
2463-2.0,Int64
2473-0.0,Int64
2473-1.0,Int64
2473-2.0,Int64
2492-0.0,Int64
2492-1.0,Int64
2492-2.0,Int64
2624-0.0,Int64
2624-1.0,Int64
2624-2.0,Int64
2634-0.0,Int64
2634-1.0,Int64
2634-2.0,Int64
2644-0.0,Int64
2644-1.0,Int64
2644-2.0,Int64
2654-0.0,Int64
2654-1.0,Int64
2654-2.0,Int64
2664-0.0,Int64
2664-1.0,Int64
2664-2.0,Int64
2674-0.0,Int64
2674-1.0,Int64
2674-2.0,Int64
2684-0.0,Int64
2684-1.0,Int64
2684-2.0,Int64
2694-0.0,Int64
2694-1.0,Int64
2694-2.0,Int64
2704-0.0,Int64
2704-1.0,Int64
2704-2.0,Int64
2714-0.0,Int64
2714-1.0,Int64
2714-2.0,Int64
2724-0.0,Int64
2724-1.0,Int64
2724-2.0,Int64
